index,chromosome,start,end,strand,intron_motif,n_cells,gene_id_start,gene_id_end,n_genes,gene_id,gene_name,intron_group,intron_group_size,n_genes_per_intron_group,coeff,abs_coeff,length
VRK1_chr14:96856251-96856527,chr14,96856251,96856527,+,1,1279,ENSG00000100749,ENSG00000100749,1,ENSG00000100749,VRK1,VRK1_chr14_96856527_+,2,1,-0.1734577969279007,0.1734577969279007,276
SRRM2_chr16:2756607-2757471,chr16,2756607,2757471,+,1,7596,ENSG00000167978,ENSG00000167978,1,ENSG00000167978,SRRM2,SRRM2_chr16_2757471_+,2,1,0.15269015161347554,0.15269015161347554,864
RPL9_chr4:39454945-39456405,chr4,39454945,39456405,-,2,35625,ENSG00000163682,ENSG00000163682,1,ENSG00000163682,RPL9,RPL9_chr4_39454945_-,3,1,0.11261631401645442,0.11261631401645442,1460
RPL9_chr4:39454945-39457585,chr4,39454945,39457585,-,2,674,ENSG00000163682,ENSG00000163682,1,ENSG00000163682,RPL9,RPL9_chr4_39454945_-,3,1,0.0518610726041743,0.0518610726041743,2640
ATP5PF_chr21:25729802-25734332,chr21,25729802,25734332,-,2,557,ENSG00000154723,ENSG00000154723,1,ENSG00000154723,ATP5PF,ATP5PF_chr21_25729802_-,4,1,0.17008749634734177,0.17008749634734177,4530
ATP5PF_chr21:25729802-25734852,chr21,25729802,25734852,-,2,11346,ENSG00000154723,ENSG00000154723,1,ENSG00000154723,ATP5PF,ATP5PF_chr21_25729802_-,4,1,-0.04961046357849919,0.04961046357849919,5050
ATP5PF_chr21:25729802-25734938,chr21,25729802,25734938,-,2,633,ENSG00000154723,ENSG00000154723,1,ENSG00000154723,ATP5PF,ATP5PF_chr21_25729802_-,4,1,-0.08657651158646065,0.08657651158646065,5136
RNF24_chr20:3964025-3974331,chr20,3964025,3974331,-,2,580,ENSG00000101236,ENSG00000101236,1,ENSG00000101236,RNF24,RNF24_chr20_3964025_-,2,1,0.14046979407924512,0.14046979407924512,10306
PTS_chr11:112230231-112230625,chr11,112230231,112230625,+,1,1558,ENSG00000150787,ENSG00000150787,1,ENSG00000150787,PTS,PTS_chr11_112230625_+,2,1,-0.09209672334916782,0.09209672334916782,394
GOLGA8A_chr15:34407736-34435382,chr15,34407736,34435382,-,2,410,ENSG00000175265,ENSG00000175265,1,ENSG00000175265,GOLGA8A,GOLGA8A_chr15_34407736_-,2,1,0.20881283395641653,0.20881283395641653,27646
C2orf74_chr2:61162956-61163051,chr2,61162956,61163051,+,3,574,ENSG00000237651,ENSG00000237651,1,ENSG00000237651,C2orf74,C2orf74_chr2_61163051_+,2,1,-0.2237768244352937,0.2237768244352937,95
LAMTOR2_chr1:156055676-156058314,chr1,156055676,156058314,+,1,286,ENSG00000116586,ENSG00000116586,1,ENSG00000116586,LAMTOR2,LAMTOR2_chr1_156058314_+,3,1,0.0036620365778425312,0.0036620365778425312,2638
LAMTOR2_chr1:156058068-156058314,chr1,156058068,156058314,+,1,3610,ENSG00000116586,ENSG00000116586,1,ENSG00000116586,LAMTOR2,LAMTOR2_chr1_156058314_+,3,1,-0.10318145615641523,0.10318145615641523,246
IDH3B_chr20:2658523-2658637,chr20,2658523,2658637,-,2,203,ENSG00000101365,ENSG00000101365,1,ENSG00000101365,IDH3B,IDH3B_chr20_2658523_-,2,1,-0.17763527057763065,0.17763527057763065,114
TOMM7_chr7:22813186-22817999,chr7,22813186,22817999,-,2,18226,ENSG00000196683,ENSG00000196683,1,ENSG00000196683,TOMM7,TOMM7_chr7_22813186_-,2,1,0.09523058802091251,0.09523058802091251,4813
ITGAE_chr17:3716799-3720306,chr17,3716799,3720306,-,2,2402,ENSG00000083457,ENSG00000083457,1,ENSG00000083457,ITGAE,ITGAE_chr17_3716799_-,2,1,-0.08973387882099235,0.08973387882099235,3507
DCLK1_chr13:35854594-35855509,chr13,35854594,35855509,-,2,415,ENSG00000133083,ENSG00000133083,1,ENSG00000133083,DCLK1,DCLK1_chr13_35854594_-,2,1,0.14290571669620444,0.14290571669620444,915
RAPGEF2_chr4:159267310-159304341,chr4,159267310,159304341,+,1,179,ENSG00000109756,ENSG00000109756,1,ENSG00000109756,RAPGEF2,RAPGEF2_chr4_159304341_+,3,1,0.2481811466433413,0.2481811466433413,37031
SRSF3_chr6:36600277-36601151,chr6,36600277,36601151,+,1,1347,ENSG00000112081,ENSG00000112081,1,ENSG00000112081,SRSF3,SRSF3_chr6_36601151_+,2,1,-0.06687906645572306,0.06687906645572306,874
PHACTR1_chr6:13185006-13205814,chr6,13185006,13205814,+,1,132,ENSG00000112137,ENSG00000112137,1,ENSG00000112137,PHACTR1,PHACTR1_chr6_13205814_+,2,1,-0.26758214750049114,0.26758214750049114,20808
MLLT3_chr9:20620835-20621772,chr9,20620835,20621772,-,2,4229,ENSG00000171843,ENSG00000171843,1,ENSG00000171843,MLLT3,MLLT3_chr9_20620835_-,2,1,0.0642829473010232,0.0642829473010232,937
TERF1_chr8:73030396-73032041,chr8,73030396,73032041,+,1,1944,ENSG00000147601,ENSG00000147601,1,ENSG00000147601,TERF1,TERF1_chr8_73032041_+,2,1,0.09370238331034184,0.09370238331034184,1645
PRMT2_chr21:46636548-46636895,chr21,46636548,46636895,+,1,711,ENSG00000160310,ENSG00000160310,1,ENSG00000160310,PRMT2,PRMT2_chr21_46636895_+,2,1,-0.11010590599170661,0.11010590599170661,347
MAGI1_chr3:65493632-65549407,chr3,65493632,65549407,-,2,331,ENSG00000151276,ENSG00000151276,1,ENSG00000151276,MAGI1,MAGI1_chr3_65493632_-,2,1,-0.17659083826527786,0.17659083826527786,55775
EBPL_chr13:49663196-49669776,chr13,49663196,49669776,-,2,360,ENSG00000123179,ENSG00000123179,1,ENSG00000123179,EBPL,EBPL_chr13_49663196_-,2,1,-0.13768128801554108,0.13768128801554108,6580
RBM4_chr11:66644141-66646026,chr11,66644141,66646026,+,1,3046,ENSG00000173933,ENSG00000173933,1,ENSG00000173933,RBM4,RBM4_chr11_66646026_+,2,1,-0.06722875358629901,0.06722875358629901,1885
RPL15_chr3:23917240-23917849,chr3,23917240,23917849,+,1,10682,ENSG00000174748,ENSG00000174748,1,ENSG00000174748,RPL15,RPL15_chr3_23917849_+,3,1,0.06684889435873739,0.06684889435873739,609
RPL15_chr3:23917296-23917849,chr3,23917296,23917849,+,1,259,ENSG00000174748,ENSG00000174748,1,ENSG00000174748,RPL15,RPL15_chr3_23917849_+,3,1,-0.15767983493248902,0.15767983493248902,553
TSPAN6_chrX:100635747-100636190,chrX,100635747,100636190,-,2,189,ENSG00000000003,ENSG00000000003,1,ENSG00000000003,TSPAN6,TSPAN6_chrX_100635747_-,2,1,0.17923163212716095,0.17923163212716095,443
ZFAND6_chr15:80072648-80120327,chr15,80072648,80120327,+,1,1230,ENSG00000086666,ENSG00000086666,1,ENSG00000086666,ZFAND6,ZFAND6_chr15_80120327_+,3,1,0.09315689562562533,0.09315689562562533,47679
ZFAND6_chr15:80098579-80120327,chr15,80098579,80120327,+,1,621,ENSG00000086666,ENSG00000086666,1,ENSG00000086666,ZFAND6,ZFAND6_chr15_80120327_+,3,1,0.07117414905622456,0.07117414905622456,21748
RBFOX2_chr22:35938898-35961562,chr22,35938898,35961562,-,2,3552,ENSG00000100320,ENSG00000100320,1,ENSG00000100320,RBFOX2,RBFOX2_chr22_35938898_-,2,1,0.06837042145329722,0.06837042145329722,22664
EAPP_chr14:34536276-34539255,chr14,34536276,34539255,-,4,254,ENSG00000129518,ENSG00000129518,1,ENSG00000129518,EAPP,EAPP_chr14_34536276_-,2,1,-0.14312399818023158,0.14312399818023158,2979
LUC7L_chr16:227337-228332,chr16,227337,228332,-,2,448,ENSG00000007392,ENSG00000007392,1,ENSG00000007392,LUC7L,LUC7L_chr16_227337_-,2,1,-0.12338839135683119,0.12338839135683119,995
CSPP1_chr8:67114371-67115913,chr8,67114371,67115913,+,1,124,,ENSG00000104218,1,ENSG00000104218,CSPP1,CSPP1_chr8_67115913_+,2,1,0.2537023147405036,0.2537023147405036,1542
SEPTIN2_chr2:241317600-241324215,chr2,241317600,241324215,+,1,237,ENSG00000168385,ENSG00000168385,1,ENSG00000168385,SEPTIN2,SEPTIN2_chr2_241324215_+,2,1,0.15231534290549054,0.15231534290549054,6615
C1orf61_chr1:156414754-156415396,chr1,156414754,156415396,-,2,164,ENSG00000125462,ENSG00000125462,1,ENSG00000125462,C1orf61,C1orf61_chr1_156414754_-,5,1,0.1991692555170118,0.1991692555170118,642
C1orf61_chr1:156414754-156416768,chr1,156414754,156416768,-,2,609,ENSG00000125462,ENSG00000125462,1,ENSG00000125462,C1orf61,C1orf61_chr1_156414754_-,5,1,0.0018931067908190338,0.0018931067908190338,2014
C1orf61_chr1:156414754-156421554,chr1,156414754,156421554,-,2,266,ENSG00000125462,ENSG00000125462,1,ENSG00000125462,C1orf61,C1orf61_chr1_156414754_-,5,1,-0.26155232020329133,0.26155232020329133,6800
C1orf61_chr1:156414754-156426797,chr1,156414754,156426797,-,2,8786,ENSG00000125462,ENSG00000125462,1,ENSG00000125462,C1orf61,C1orf61_chr1_156414754_-,5,1,0.026710487091668907,0.026710487091668907,12043
MAPK9_chr5:180242756-180247438,chr5,180242756,180247438,-,2,166,ENSG00000050748,ENSG00000050748,1,ENSG00000050748,MAPK9,MAPK9_chr5_180242756_-,2,1,-0.2815177304583086,0.2815177304583086,4682
CNTRL_chr9:121095019-121096421,chr9,121095019,121096421,+,1,367,ENSG00000119397,ENSG00000119397,1,ENSG00000119397,CNTRL,CNTRL_chr9_121096421_+,2,1,-0.15784913183096008,0.15784913183096008,1402
CD63_chr12:55728353-55728952,chr12,55728353,55728952,-,2,6824,ENSG00000135404,ENSG00000135404,1,ENSG00000135404,CD63,CD63_chr12_55728353_-,2,1,-0.10520862694793384,0.10520862694793384,599
MBNL1_chr3:152299255-152299404,chr3,152299255,152299404,+,1,185,ENSG00000152601,ENSG00000152601,1,ENSG00000152601,MBNL1,MBNL1_chr3_152299404_+,2,1,0.21688603902080064,0.21688603902080064,149
AFTPH_chr2:64581274-64585421,chr2,64581274,64585421,+,1,275,ENSG00000119844,ENSG00000119844,1,ENSG00000119844,AFTPH,AFTPH_chr2_64585421_+,2,1,0.2089156614014589,0.2089156614014589,4147
RPL3_chr22:39313311-39313633,chr22,39313311,39313633,-,2,41470,ENSG00000100316,ENSG00000100316,1,ENSG00000100316,RPL3,RPL3_chr22_39313311_-,2,1,0.10959312686217665,0.10959312686217665,322
RTF1_chr15:41479027-41479102,chr15,41479027,41479102,+,1,459,,ENSG00000137815,1,ENSG00000137815,RTF1,RTF1_chr15_41479102_+,2,1,0.2298172523537844,0.2298172523537844,75
PTPRD_chr9:9574782-9734532,chr9,9574782,9734532,-,2,1621,ENSG00000153707,ENSG00000153707,1,ENSG00000153707,PTPRD,PTPRD_chr9_9574782_-,2,1,0.1712160418449272,0.1712160418449272,159750
ILF3_chr19:10680444-10681018,chr19,10680444,10681018,+,1,4069,ENSG00000129351,ENSG00000129351,1,ENSG00000129351,ILF3,ILF3_chr19_10681018_+,2,1,-0.08159267450925285,0.08159267450925285,574
FAU_chr11:65120807-65120980,chr11,65120807,65120980,-,2,42258,ENSG00000149806,ENSG00000149806,1,ENSG00000149806,FAU,FAU_chr11_65120807_-,2,1,-0.11350541864604372,0.11350541864604372,173
PQBP1_chrX:48898083-48898491,chrX,48898083,48898491,+,1,196,ENSG00000102103,ENSG00000102103,1,ENSG00000102103,PQBP1,PQBP1_chrX_48898491_+,2,1,-0.17615707981422077,0.17615707981422077,408
EPHA5_chr4:65367425-65376997,chr4,65367425,65376997,-,2,193,ENSG00000145242,ENSG00000145242,1,ENSG00000145242,EPHA5,EPHA5_chr4_65367425_-,2,1,0.20888292839389452,0.20888292839389452,9572
SLC35A1_chr6:87500668-87501157,chr6,87500668,87501157,+,1,425,ENSG00000164414,ENSG00000164414,1,ENSG00000164414,SLC35A1,SLC35A1_chr6_87501157_+,3,1,-0.24598716842960378,0.24598716842960378,489
CUTA_chr6:33417696-33417868,chr6,33417696,33417868,-,2,1453,ENSG00000112514,ENSG00000112514,1,ENSG00000112514,CUTA,CUTA_chr6_33417696_-,3,1,-0.0882477429989077,0.0882477429989077,172
CUTA_chr6:33417696-33417958,chr6,33417696,33417958,-,2,1242,ENSG00000112514,ENSG00000112514,1,ENSG00000112514,CUTA,CUTA_chr6_33417696_-,3,1,0.03311829346682757,0.03311829346682757,262
SGIP1_chr1:66636016-66639776,chr1,66636016,66639776,+,1,327,ENSG00000118473,ENSG00000118473,1,ENSG00000118473,SGIP1,SGIP1_chr1_66639776_+,2,1,0.1884650519885128,0.1884650519885128,3760
HNRNPK_chr9:83973400-83973901,chr9,83973400,83973901,-,2,2088,ENSG00000165119,ENSG00000165119,1,ENSG00000165119,HNRNPK,HNRNPK_chr9_83973400_-,2,1,-0.08252559616013995,0.08252559616013995,501
MEIS2_chr15:36892460-36894716,chr15,36892460,36894716,-,2,2705,ENSG00000134138,ENSG00000134138,1,ENSG00000134138,MEIS2,MEIS2_chr15_36892460_-,2,1,0.08387012573475407,0.08387012573475407,2256
TNPO1_chr5:72900082-72900973,chr5,72900082,72900973,+,1,1329,ENSG00000083312,ENSG00000083312,1,ENSG00000083312,TNPO1,TNPO1_chr5_72900973_+,2,1,-0.18243904252859783,0.18243904252859783,891
RPL5_chr1:92833459-92833544,chr1,92833459,92833544,+,1,15938,ENSG00000122406,ENSG00000122406,1,ENSG00000122406,RPL5,RPL5_chr1_92833544_+,2,1,-0.07634421631425768,0.07634421631425768,85
EWSR1_chr22:29274283-29278029,chr22,29274283,29278029,+,1,303,ENSG00000182944,ENSG00000182944,1,ENSG00000182944,EWSR1,EWSR1_chr22_29278029_+,2,1,0.1654536842024432,0.1654536842024432,3746
ASCC1_chr10:72213332-72215781,chr10,72213332,72215781,-,2,203,ENSG00000138303,ENSG00000138303,1,ENSG00000138303,ASCC1,ASCC1_chr10_72213332_-,2,1,0.17332210088921765,0.17332210088921765,2449
SF3B1_chr2:197418589-197418895,chr2,197418589,197418895,-,2,196,ENSG00000115524,ENSG00000115524,1,ENSG00000115524,SF3B1,SF3B1_chr2_197418589_-,2,1,0.15405671724622289,0.15405671724622289,306
TCERG1_chr5:146468404-146469543,chr5,146468404,146469543,+,1,563,ENSG00000113649,ENSG00000113649,1,ENSG00000113649,TCERG1,TCERG1_chr5_146469543_+,2,1,0.11221741329843109,0.11221741329843109,1139
NCBP2_chr3:196939433-196941708,chr3,196939433,196941708,-,2,138,ENSG00000114503,ENSG00000114503,1,ENSG00000114503,NCBP2,NCBP2_chr3_196939433_-,4,1,0.11427127529969439,0.11427127529969439,2275
NCBP2_chr3:196939433-196941934,chr3,196939433,196941934,-,2,475,ENSG00000114503,ENSG00000114503,1,ENSG00000114503,NCBP2,NCBP2_chr3_196939433_-,4,1,0.04241705662037748,0.04241705662037748,2501
NCBP2_chr3:196939433-196942369,chr3,196939433,196942369,-,2,199,ENSG00000114503,ENSG00000114503,1,ENSG00000114503,NCBP2,NCBP2_chr3_196939433_-,4,1,0.015401676539805731,0.015401676539805731,2936
ETV1_chr7:13989140-13989267,chr7,13989140,13989267,-,2,175,ENSG00000006468,ENSG00000006468,1,ENSG00000006468,ETV1,ETV1_chr7_13989140_-,2,1,-0.16626084408742173,0.16626084408742173,127
PAK1_chr11:77392542-77411773,chr11,77392542,77411773,-,2,341,ENSG00000149269,ENSG00000149269,1,ENSG00000149269,PAK1,PAK1_chr11_77392542_-,2,1,0.13852413152800322,0.13852413152800322,19231
EXOSC3_chr9:37780881-37781985,chr9,37780881,37781985,-,2,633,ENSG00000107371,ENSG00000107371,1,ENSG00000107371,EXOSC3,EXOSC3_chr9_37780881_-,2,1,-0.13375489265979232,0.13375489265979232,1104
LIMCH1_chr4:41687918-41689526,chr4,41687918,41689526,+,1,110,ENSG00000064042,ENSG00000064042,1,ENSG00000064042,LIMCH1,LIMCH1_chr4_41689526_+,2,1,0.32194416185473035,0.32194416185473035,1608
ERCC1_chr19:45413746-45413962,chr19,45413746,45413962,-,2,1951,ENSG00000012061,ENSG00000012061,1,ENSG00000012061,ERCC1,ERCC1_chr19_45413746_-,2,1,-0.10292637583661297,0.10292637583661297,216
COMMD6_chr13:75530267-75537381,chr13,75530267,75537381,-,2,277,ENSG00000188243,ENSG00000188243,1,ENSG00000188243,COMMD6,COMMD6_chr13_75530267_-,4,1,-0.11514030046920995,0.11514030046920995,7114
COMMD6_chr13:75530267-75537498,chr13,75530267,75537498,-,2,152,ENSG00000188243,ENSG00000188243,1,ENSG00000188243,COMMD6,COMMD6_chr13_75530267_-,4,1,0.09588318136397225,0.09588318136397225,7231
COMMD6_chr13:75530267-75537663,chr13,75530267,75537663,-,2,25705,ENSG00000188243,ENSG00000188243,1,ENSG00000188243,COMMD6,COMMD6_chr13_75530267_-,4,1,-0.11469424078231824,0.11469424078231824,7396
GNAS_chr20:58898986-58903530,chr20,58898986,58903530,+,1,2609,ENSG00000087460,ENSG00000087460,1,ENSG00000087460,GNAS,GNAS_chr20_58903530_+,2,1,0.17851016862237118,0.17851016862237118,4544
CBFA2T2_chr20:33562675-33606955,chr20,33562675,33606955,+,1,175,ENSG00000078699,ENSG00000078699,1,ENSG00000078699,CBFA2T2,CBFA2T2_chr20_33606955_+,2,1,-0.1863632985432867,0.1863632985432867,44280
CMC1_chr3:28263381-28316332,chr3,28263381,28316332,+,1,511,ENSG00000187118,ENSG00000187118,1,ENSG00000187118,CMC1,CMC1_chr3_28316332_+,2,1,0.160830170830185,0.160830170830185,52951
HPF1_chr4:169748843-169750535,chr4,169748843,169750535,-,2,5113,ENSG00000056050,ENSG00000056050,1,ENSG00000056050,HPF1,HPF1_chr4_169748843_-,2,1,-0.10851819525404142,0.10851819525404142,1692
GAS5_chr1:173864305-173864483,chr1,173864305,173864483,-,2,16193,ENSG00000234741,ENSG00000234741,1,ENSG00000234741,GAS5,GAS5_chr1_173864305_-,5,1,-0.08174429772671128,0.08174429772671128,178
GAS5_chr1:173864305-173864674,chr1,173864305,173864674,-,2,2378,ENSG00000234741,ENSG00000234741,1,ENSG00000234741,GAS5,GAS5_chr1_173864305_-,5,1,-0.00615265647006473,0.00615265647006473,369
GAS5_chr1:173864305-173865228,chr1,173864305,173865228,-,2,221,ENSG00000234741,ENSG00000234741,1,ENSG00000234741,GAS5,GAS5_chr1_173864305_-,5,1,0.061536298189653504,0.061536298189653504,923
GAS5_chr1:173864305-173865470,chr1,173864305,173865470,-,2,284,ENSG00000234741,ENSG00000234741,1,ENSG00000234741,GAS5,GAS5_chr1_173864305_-,5,1,-0.022878527120905517,0.022878527120905517,1165
ANK3_chr10:60279640-60389424,chr10,60279640,60389424,-,2,155,ENSG00000151150,ENSG00000151150,1,ENSG00000151150,ANK3,ANK3_chr10_60279640_-,2,1,-0.21526759808380846,0.21526759808380846,109784
RACK1_chr5:181238240-181239066,chr5,181238240,181239066,-,2,26862,ENSG00000204628,ENSG00000204628,1,ENSG00000204628,RACK1,RACK1_chr5_181238240_-,2,1,-0.08657067444667878,0.08657067444667878,826
NME2_chr17:51166564-51166826,chr17,51166564,51166826,+,1,1228,ENSG00000243678,ENSG00000243678,1,ENSG00000243678,NME2,NME2_chr17_51166826_+,3,1,-0.01631829861431855,0.01631829861431855,262
NME2_chr17:51166602-51166826,chr17,51166602,51166826,+,1,123,,ENSG00000243678,1,ENSG00000243678,NME2,NME2_chr17_51166826_+,3,1,0.14353499409678003,0.14353499409678003,224
JMJD1C_chr10:63264765-63268662,chr10,63264765,63268662,-,2,676,ENSG00000171988,ENSG00000171988,1,ENSG00000171988,JMJD1C,JMJD1C_chr10_63264765_-,2,1,-0.10115933559230332,0.10115933559230332,3897
UBE2E3_chr2:180981386-180982017,chr2,180981386,180982017,+,1,611,ENSG00000170035,ENSG00000170035,1,ENSG00000170035,UBE2E3,UBE2E3_chr2_180982017_+,3,1,-0.08025309232779833,0.08025309232779833,631
UBE2E3_chr2:180981478-180982017,chr2,180981478,180982017,+,1,205,ENSG00000170035,ENSG00000170035,1,ENSG00000170035,UBE2E3,UBE2E3_chr2_180982017_+,3,1,-0.022763405819875866,0.022763405819875866,539
NKTR_chr3:42627228-42630545,chr3,42627228,42630545,+,1,289,ENSG00000114857,ENSG00000114857,1,ENSG00000114857,NKTR,NKTR_chr3_42630545_+,2,1,-0.1485011349338021,0.1485011349338021,3317
PPM1K_chr4:88268907-88270999,chr4,88268907,88270999,-,2,156,ENSG00000163644,ENSG00000163644,1,ENSG00000163644,PPM1K,PPM1K_chr4_88268907_-,3,1,-0.10991245813995519,0.10991245813995519,2092
PPM1K_chr4:88268907-88274425,chr4,88268907,88274425,-,2,125,ENSG00000163644,,1,ENSG00000163644,PPM1K,PPM1K_chr4_88268907_-,3,1,0.24262943553854957,0.24262943553854957,5518
EIF5_chr14:103334598-103335652,chr14,103334598,103335652,+,1,7485,ENSG00000100664,ENSG00000100664,1,ENSG00000100664,EIF5,EIF5_chr14_103335652_+,2,1,0.08958072670111383,0.08958072670111383,1054
RPS15A_chr16:18789119-18789896,chr16,18789119,18789896,-,2,357,ENSG00000134419,ENSG00000134419,1,ENSG00000134419,RPS15A,RPS15A_chr16_18789119_-,3,1,-0.06104411459515136,0.06104411459515136,777
RPS15A_chr16:18789119-18790243,chr16,18789119,18790243,-,2,13274,ENSG00000134419,ENSG00000134419,1,ENSG00000134419,RPS15A,RPS15A_chr16_18789119_-,3,1,0.014282694179709121,0.014282694179709121,1124
ELAVL4_chr1:50109965-50144956,chr1,50109965,50144956,+,1,713,ENSG00000162374,ENSG00000162374,1,ENSG00000162374,ELAVL4,ELAVL4_chr1_50144956_+,2,1,0.10087740881818957,0.10087740881818957,34991
FMC1_chr7:139341523-139345500,chr7,139341523,139345500,+,1,2595,ENSG00000164898,ENSG00000164898,1,ENSG00000164898,FMC1,FMC1_chr7_139345500_+,2,1,-0.12005716224072187,0.12005716224072187,3977
SRSF7_chr2:38746748-38748046,chr2,38746748,38748046,-,2,6179,ENSG00000115875,ENSG00000115875,1,ENSG00000115875,SRSF7,SRSF7_chr2_38746748_-,2,1,0.0981982741688956,0.0981982741688956,1298
RPL31_chr2:101004309-101005958,chr2,101004309,101005958,+,1,430,,ENSG00000071082,1,ENSG00000071082,RPL31,RPL31_chr2_101005958_+,2,1,0.10507829307423243,0.10507829307423243,1649
PLEKHA1_chr10:122392373-122393180,chr10,122392373,122393180,+,1,408,ENSG00000107679,ENSG00000107679,1,ENSG00000107679,PLEKHA1,PLEKHA1_chr10_122393180_+,2,1,0.15602705202568878,0.15602705202568878,807
TRMT13_chr1:100140252-100140407,chr1,100140252,100140407,+,1,518,ENSG00000122435,ENSG00000122435,1,ENSG00000122435,TRMT13,TRMT13_chr1_100140407_+,2,1,-0.1777508590637053,0.1777508590637053,155
MEF2C_chr5:88823928-88880923,chr5,88823928,88880923,-,2,269,ENSG00000081189,ENSG00000081189,1,ENSG00000081189,MEF2C,MEF2C_chr5_88823928_-,3,1,-0.27060789555503445,0.27060789555503445,56995
MEF2C_chr5:88823928-88882954,chr5,88823928,88882954,-,2,10945,ENSG00000081189,ENSG00000081189,1,ENSG00000081189,MEF2C,MEF2C_chr5_88823928_-,3,1,-0.14235328322244917,0.14235328322244917,59026
SSX2IP_chr1:84670816-84671176,chr1,84670816,84671176,-,2,625,ENSG00000117155,ENSG00000117155,1,ENSG00000117155,SSX2IP,SSX2IP_chr1_84670816_-,2,1,0.13894242601653933,0.13894242601653933,360
MRPL43_chr10:100983818-100983947,chr10,100983818,100983947,-,2,193,ENSG00000055950,ENSG00000055950,1,ENSG00000055950,MRPL43,MRPL43_chr10_100983818_-,4,1,-0.11663908871623407,0.11663908871623407,129
MRPL43_chr10:100983818-100986748,chr10,100983818,100986748,-,2,478,ENSG00000055950,ENSG00000055950,1,ENSG00000055950,MRPL43,MRPL43_chr10_100983818_-,4,1,-0.1659469475171758,0.1659469475171758,2930
ZMYM1_chr1:35099843-35104294,chr1,35099843,35104294,+,1,152,,ENSG00000197056,1,ENSG00000197056,ZMYM1,ZMYM1_chr1_35104294_+,2,1,0.1797377761123386,0.1797377761123386,4451
MAP4_chr3:47977934-47987382,chr3,47977934,47987382,-,2,153,ENSG00000047849,ENSG00000047849,1,ENSG00000047849,MAP4,MAP4_chr3_47977934_-,2,1,0.1857210391850435,0.1857210391850435,9448
CCDC112_chr5:115269001-115269702,chr5,115269001,115269702,-,2,804,ENSG00000164221,ENSG00000164221,1,ENSG00000164221,CCDC112,CCDC112_chr5_115269001_-,2,1,-0.1183205207125888,0.1183205207125888,701
CAMK2N1_chr1:20483720-20484366,chr1,20483720,20484366,-,2,977,ENSG00000162545,ENSG00000162545,1,ENSG00000162545,CAMK2N1,CAMK2N1_chr1_20483720_-,2,1,-0.07138636113878552,0.07138636113878552,646
PAK3_chrX:111013901-111123076,chrX,111013901,111123076,+,1,202,ENSG00000077264,ENSG00000077264,1,ENSG00000077264,PAK3,PAK3_chrX_111123076_+,6,1,0.039069052010796135,0.039069052010796135,109175
PAK3_chrX:111097685-111123076,chrX,111097685,111123076,+,1,426,ENSG00000077264,ENSG00000077264,1,ENSG00000077264,PAK3,PAK3_chrX_111123076_+,6,1,0.0564992450544633,0.0564992450544633,25391
PAK3_chrX:111103307-111123076,chrX,111103307,111123076,+,1,618,ENSG00000077264,ENSG00000077264,1,ENSG00000077264,PAK3,PAK3_chrX_111123076_+,6,1,-0.18446335576341258,0.18446335576341258,19769
MAGED2_chrX:54808434-54809302,chrX,54808434,54809302,+,1,3676,ENSG00000102316,ENSG00000102316,1,ENSG00000102316,MAGED2,MAGED2_chrX_54809302_+,3,1,0.07333421848422578,0.07333421848422578,868
MAGED2_chrX:54809224-54809302,chrX,54809224,54809302,+,1,162,ENSG00000102316,ENSG00000102316,1,ENSG00000102316,MAGED2,MAGED2_chrX_54809302_+,3,1,-0.04643805009956326,0.04643805009956326,78
RPL21_chr13:27251657-27253764,chr13,27251657,27253764,+,1,275,ENSG00000122026,ENSG00000122026,1,ENSG00000122026,RPL21,RPL21_chr13_27253764_+,3,1,-0.17154203847285435,0.17154203847285435,2107
RPL21_chr13:27251851-27253764,chr13,27251851,27253764,+,1,284,ENSG00000122026,ENSG00000122026,1,ENSG00000122026,RPL21,RPL21_chr13_27253764_+,3,1,0.21701871836590655,0.21701871836590655,1913
PLEKHA3_chr2:178489015-178490658,chr2,178489015,178490658,+,1,372,ENSG00000116095,ENSG00000116095,1,ENSG00000116095,PLEKHA3,PLEKHA3_chr2_178490658_+,2,1,-0.1167211771135378,0.1167211771135378,1643
ARID5B_chr10:62049484-62050887,chr10,62049484,62050887,+,1,156,ENSG00000150347,ENSG00000150347,1,ENSG00000150347,ARID5B,ARID5B_chr10_62050887_+,2,1,-0.18906908183527923,0.18906908183527923,1403
ADD1_chr4:2905109-2907742,chr4,2905109,2907742,+,1,175,ENSG00000087274,ENSG00000087274,1,ENSG00000087274,ADD1,ADD1_chr4_2907742_+,2,1,0.17432621864513587,0.17432621864513587,2633
TCEAL7_chrX:103331041-103331376,chrX,103331041,103331376,+,1,3946,ENSG00000182916,ENSG00000182916,1,ENSG00000182916,TCEAL7,TCEAL7_chrX_103331376_+,2,1,0.08802093079362362,0.08802093079362362,335
SRSF5_chr14:69767256-69768137,chr14,69767256,69768137,+,1,4944,ENSG00000100650,ENSG00000100650,1,ENSG00000100650,SRSF5,SRSF5_chr14_69768137_+,4,1,-0.046130959074467626,0.046130959074467626,881
SRSF5_chr14:69767381-69768137,chr14,69767381,69768137,+,1,1241,ENSG00000100650,ENSG00000100650,1,ENSG00000100650,SRSF5,SRSF5_chr14_69768137_+,4,1,-0.10299104304453127,0.10299104304453127,756
